,executors,structure_type,function,dataset_size,std_percentage
154,2,sorted-asc,union,10000,0.20543221336669773
155,2,sorted-asc,earlyStopSortMerge,10000,0.13844938496593492
156,2,sorted-asc_bucketed_160,exploding,10000000,0.0060206290979490235
157,2,sorted-asc_bucketed_160,union,10000000,0.004329106106617235
158,2,sorted-asc_bucketed_160,earlyStopSortMerge,10000000,0.0050512694835701385
159,2,sorted-asc_bucketed_160,exploding,100000,0.04411930450672815
160,2,sorted-asc_bucketed_160,union,100000,0.014732191291603724
161,2,sorted-asc_bucketed_160,earlyStopSortMerge,100000,0.05907884905913462
162,2,sorted-asc_bucketed_160,exploding,1000000,0.01927653970940425
163,2,sorted-asc_bucketed_160,union,1000000,0.014038942382327545
164,2,sorted-asc_bucketed_160,earlyStopSortMerge,1000000,0.007712359764333694
165,2,sorted-asc_bucketed_160,exploding,10000,0.27371131496161705
166,2,sorted-asc_bucketed_160,union,10000,0.08031601872977089
167,2,sorted-asc_bucketed_160,earlyStopSortMerge,10000,0.09069337400427267
168,8,sorted-asc_bucketed_80,exploding,10000000,0.037300518626164
169,8,sorted-asc_bucketed_80,union,10000000,0.001955073351322711
170,8,sorted-asc_bucketed_80,earlyStopSortMerge,10000000,0.01052303752578479
171,8,sorted-asc_bucketed_80,exploding,100000,0.019459905921784232
172,8,sorted-asc_bucketed_80,union,100000,0.006511547579074573
173,8,sorted-asc_bucketed_80,earlyStopSortMerge,100000,0.0479289295530667
174,8,sorted-asc_bucketed_80,exploding,1000000,0.004761337868578162
175,8,sorted-asc_bucketed_80,union,1000000,0.004328932287050645
176,8,sorted-asc_bucketed_80,earlyStopSortMerge,1000000,0.01418248137664438
177,8,sorted-asc_bucketed_80,exploding,10000,0.14551063771542116
178,8,sorted-asc_bucketed_80,union,10000,0.03668688428654391
179,8,sorted-asc_bucketed_80,earlyStopSortMerge,10000,0.07401940448544995
180,8,sorted-asc_bucketed_20,exploding,10000000,0.01690280528536658
181,8,sorted-asc_bucketed_20,union,10000000,0.0033255235506361816
182,8,sorted-asc_bucketed_20,earlyStopSortMerge,10000000,0.021797372515796193
183,8,sorted-asc_bucketed_20,exploding,100000,0.023108403851604394
184,8,sorted-asc_bucketed_20,union,100000,0.005351130926128102
185,8,sorted-asc_bucketed_20,earlyStopSortMerge,100000,0.11451025928178078
186,8,sorted-asc_bucketed_20,exploding,1000000,0.012043606212346453
187,8,sorted-asc_bucketed_20,union,1000000,0.0063204887325950775
188,8,sorted-asc_bucketed_20,earlyStopSortMerge,1000000,0.009194853680419487
189,8,sorted-asc_bucketed_20,exploding,10000,0.2849642071297752
190,8,sorted-asc_bucketed_20,union,10000,0.11487207276004484
191,8,sorted-asc_bucketed_20,earlyStopSortMerge,10000,0.21153878102021978
192,8,sorted-desc,exploding,10000000,0.003615025649452837
193,8,sorted-desc,union,10000000,0.004548862735960065
194,8,sorted-desc,earlyStopSortMerge,10000000,0.006475047835365924
195,8,sorted-desc,exploding,100000,0.056958338423025966
196,8,sorted-desc,union,100000,0.04396501578139588
197,8,sorted-desc,earlyStopSortMerge,100000,0.07890690123967851
198,8,sorted-desc,exploding,1000000,0.013372019356962049
199,8,sorted-desc,union,1000000,0.012588025144647567
200,8,sorted-desc,earlyStopSortMerge,1000000,0.02838791417805716
201,8,sorted-desc,exploding,10000,0.11082745074088411
202,8,sorted-desc,union,10000,0.1031104458500379
203,8,sorted-desc,earlyStopSortMerge,10000,0.09950408267503623
204,8,sorted-asc_bucketed_40,exploding,10000000,0.006637663720882669
